NA18128 NA18128 0 0 2 0
NA18129 NA18129 0 0 2 0
NA18131 NA18131 0 0 2 0
NA18132 NA18132 0 0 1 0
NA18133 NA18133 0 0 1 0
NA18134 NA18134 0 0 2 0
NA18135 NA18135 0 0 2 0
NA18136 NA18136 0 0 1 0
NA18138 NA18138 0 0 1 0
NA18139 NA18139 0 0 2 0
NA18140 NA18140 0 0 2 0
NA18141 NA18141 0 0 1 0
NA18143 NA18143 0 0 1 0
NA18144 NA18144 0 0 2 0
NA18146 NA18146 0 0 2 0
NA18147 NA18147 0 0 1 0
NA18148 NA18148 0 0 2 0
NA18149 NA18149 0 0 1 0
NA18150 NA18150 0 0 2 0
NA18151 NA18151 0 0 2 0
NA18152 NA18152 0 0 1 0
NA18153 NA18153 0 0 2 0
NA18154 NA18154 0 0 2 0
NA18155 NA18155 0 0 1 0
NA18156 NA18156 0 0 1 0
NA18157 NA18157 0 0 2 0
NA18158 NA18158 0 0 1 0
NA18159 NA18159 0 0 2 0
NA18160 NA18160 0 0 1 0
NA18161 NA18161 0 0 2 0
NA18162 NA18162 0 0 2 0
NA18163 NA18163 0 0 1 0
NA18166 NA18166 0 0 1 0
NA18670 NA18670 0 0 2 0
NA18674 NA18674 0 0 1 0
NA18682 NA18682 0 0 1 0
NA18685 NA18685 0 0 1 0
NA18689 NA18689 0 0 1 0
NA18694 NA18694 0 0 2 0
NA18696 NA18696 0 0 2 0
NA18702 NA18702 0 0 2 0
NA18704 NA18704 0 0 2 0
NA17963 NA17963 0 0 2 0
NA17991 NA17991 0 0 2 0
NA17994 NA17994 0 0 1 0
NA18110 NA18110 0 0 2 0
NA18111 NA18111 0 0 2 0
NA18115 NA18115 0 0 2 0
NA18130 NA18130 0 0 1 0
NA18673 NA18673 0 0 1 0
NA18691 NA18691 0 0 1 0
NA18693 NA18693 0 0 1 0
NA20845 NA20845 0 0 1 0
NA20846 NA20846 0 0 1 0
NA20847 NA20847 0 0 2 0
NA20849 NA20849 0 0 2 0
NA20850 NA20850 0 0 1 0
NA20851 NA20851 0 0 2 0
NA20852 NA20852 0 0 1 0
NA20853 NA20853 0 0 2 0
NA20854 NA20854 0 0 2 0
NA20856 NA20856 0 0 2 0
NA20858 NA20858 0 0 1 0
NA20859 NA20859 0 0 2 0
NA20861 NA20861 0 0 1 0
NA20862 NA20862 0 0 2 0
NA20866 NA20866 0 0 1 0
NA20869 NA20869 0 0 2 0
NA20870 NA20870 0 0 1 0
NA20871 NA20871 0 0 1 0
NA20872 NA20872 0 0 2 0
NA20873 NA20873 0 0 1 0
NA20874 NA20874 0 0 2 0
NA20875 NA20875 0 0 2 0
NA20876 NA20876 0 0 2 0
NA20877 NA20877 0 0 2 0
NA20879 NA20879 0 0 2 0
NA20881 NA20881 0 0 2 0
NA20882 NA20882 0 0 2 0
NA20883 NA20883 0 0 1 0
NA20884 NA20884 0 0 1 0
NA20885 NA20885 0 0 1 0
NA20886 NA20886 0 0 2 0
NA20887 NA20887 0 0 1 0
NA20888 NA20888 0 0 2 0
NA20889 NA20889 0 0 1 0
NA20890 NA20890 0 0 1 0
NA20891 NA20891 0 0 1 0
NA20892 NA20892 0 0 2 0
NA20894 NA20894 0 0 2 0
NA20895 NA20895 0 0 1 0
NA20896 NA20896 0 0 2 0
NA20897 NA20897 0 0 1 0
NA20898 NA20898 0 0 1 0
NA20899 NA20899 0 0 2 0
NA20900 NA20900 0 0 2 0
NA20901 NA20901 0 0 1 0
NA20902 NA20902 0 0 2 0
NA20903 NA20903 0 0 1 0
NA20904 NA20904 0 0 1 0
NA20906 NA20906 0 0 2 0
NA20907 NA20907 0 0 2 0
NA20908 NA20908 0 0 2 0
NA20909 NA20909 0 0 1 0
NA20910 NA20910 0 0 2 0
NA20911 NA20911 0 0 1 0
NA21086 NA21086 0 0 2 0
NA21088 NA21088 0 0 2 0
NA21089 NA21089 0 0 2 0
NA21090 NA21090 0 0 1 0
NA21091 NA21091 0 0 1 0
NA21092 NA21092 0 0 1 0
NA21094 NA21094 0 0 1 0
NA21097 NA21097 0 0 2 0
